square,price,address
200 m²,1 523 901 627 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - 2025-07-01"
350 m²,8 254 467 144 so’m,"Toshkent, Yakkasaroy tumani - Bugunda 09:29"
220 m²,2 158 860 638 so’m,"Toshkent, Yunusobod tumani - Bugunda 09:28"
350 m²,4 178 030 293 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 09:28"
650 m²,3 301 786 857 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 09:28"
150 m²,571 463 110 so’mKelishilgan,Buxoro - Bugunda 09:30
175 m²,2 914 461 861 so’m,"Toshkent, Mirobod tumani - Bugunda 09:27"
400 m²,4 571 704 880 so’m,"Toshkent, Sirg‘ali tumani - Bugunda 09:27"
400 m²,8 762 434 352 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:23"
160 m²,1 015 934 418 so’mKelishilgan,"Toshkent, Bektemir tumani - Bugunda 09:22"
4 m²,460 000 000 so’m,Taxiatosh - Bugunda 09:22
6.20 m²,2 920 811 451 so’m,"Toshkent, Mirobod tumani - 2025-07-01"
140 m²,1 396 909 824 so’m,"Toshkent, Chilonzor tumani - 2025-07-01"
18.45 m²,189 217 785 so’mKelishilgan,"Toshkent, Yashnobod tumani - 2025-07-01"
150 m²,3 174 795 055 so’mKelishilgan,"Toshkent, Chilonzor tumani - Bugunda 09:19"
265 m²,3 936 745 869 so’m,"Toshkent, Chilonzor tumani - Bugunda 09:12"
1 000 m²,1 777 885 231 so’m,Buxoro - Bugunda 09:11
76 m²,634 959 011 so’m,Qarshi - Bugunda 09:10
300 m²,4 825 688 484 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:10"
400 m²,2 095 364 736 so’mKelishilgan,Samarqand - Bugunda 09:09
200 m²,4 571 704 880 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:08"
120 m²,1 549 299 987 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 09:08"
400 m²,8 635 442 550 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 09:08"
185 m²,1 904 877 033 so’mKelishilgan,Chirchiq - Bugunda 09:07
600 m²,450 820 898 so’mKelishilgan,Yangiyo'l - 2025-06-30
175 m²,2 006 470 475 so’mKelishilgan,"Toshkent, Olmazor tumani - 2025-06-30"
220 m²,2 666 827 846 so’mKelishilgan,Qibray - Bugunda 09:06
59 m²,787 349 174 so’m,"Toshkent, Chilonzor tumani - Bugunda 09:05"
160 m²,1 714 389 330 so’m,"Toshkent, Yunusobod tumani - Bugunda 09:01"
400 m²,3 111 299 154 so’m,"Toshkent, Uchtepa tumani - Bugunda 08:57"
55 m²,761 938 114 so’m,"Toshkent, Yashnobod tumani - Bugunda 08:56"
660 m²,3 809 754 066 so’mKelishilgan,Nukus - Bugunda 08:54
430 m²,8 254 467 144 so’mKelishilgan,"Toshkent, Yakkasaroy tumani - Bugunda 08:53"
14.50 m²,3 174 795 055 so’mKelishilgan,"Toshkent, Bektemir tumani - Bugunda 08:51"
1.50 m²,787 349 174 so’mKelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 08:46"
800 m²,8 889 426 155 so’mKelishilgan,"Toshkent, Yunusobod tumani - Bugunda 08:44"
300 m²,1 396 909 824 so’m,"Toshkent, Bektemir tumani - 2025-06-29"
428 m²,787 349 174 so’m,Farg‘ona - 2025-06-30
400 m²,571 463 110 so’mKelishilgan,Samarqand - Bugunda 08:42
100 m²,2 539 836 044 so’mKelishilgan,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 08:42"
370 m²,3 797 054 886 so’mKelishilgan,"Toshkent, Shayxontohur tumani - Bugunda 08:41"
150 m²,1 587 397 528 so’mKelishilgan,"Toshkent, Yashnobod tumani - Bugunda 08:36"
