square,price,address
370.0,2069966376,Bektemir
242.0,6743264697,Mirzo-Ulug‘bek
60.0,6984549122,Mirzo-Ulug‘bek
50.0,3873249967,Mirzo-Ulug‘bek
945.0,6667069616,Yashnobod
220.0,2412844242,Sirg‘ali
360.0,5714631099,Mirzo-Ulug‘bek
300.0,6349590111,Mirzo-Ulug‘bek
120.0,1104828679,Sirg‘ali
600.0,317479506,Yashnobod
750.0,14604057254,Mirzo-Ulug‘bek
70.0,673056552,Mirobod
59.0,558763930,Sirg‘ali
300.0,3809754066,Uchtepa
285.0,1841381132,Sirg‘ali
411.0,2793819649,Mirzo-Ulug‘bek
460.0,10794303188,Mirzo-Ulug‘bek
600.0,812747534,Shayxontohur
600.0,2577933585,Olmazor
450.0,1511202446,Yashnobod
400.0,3047803253,Chilonzor
360.0,3746258165,Mirzo-Ulug‘bek
221.0,3047803253,Sirg‘ali
400.0,6349590111,Chilonzor
281.0,4762192583,Chilonzor
290.0,2793819649,Yunusobod
378.0,5524143396,Yunusobod
390.0,3428778660,Yunusobod
120.0,1904877033,Yakkasaroy
300.0,2171559818,Yashnobod
400.0,3555770462,Yunusobod
600.0,8635442550,Olmazor
360.0,3746258165,Yashnobod
188.0,2349348341,Sirg‘ali
300.0,6730565517,Yakkasaroy
500.0,4698696682,Mirzo-Ulug‘bek
70.0,952438517,Yunusobod
800.0,2539836044,Yakkasaroy
300.0,1142926220,Yashnobod
102.0,1460405725,Sirg‘ali
120.0,2768421288,Yakkasaroy
300.0,4444713077,Shayxontohur
50.0,2539836044,Mirobod
82.0,1015934418,Yashnobod
100.0,2222356539,Shayxontohur
300.0,1714389330,Mirobod
450.0,12445196617,Mirzo-Ulug‘bek
77.0,797508518,Mirobod
500.0,9778368770,Shayxontohur
300.0,5714631099,Olmazor
225.0,2450941783,Sirg‘ali
100.0,863544255,Sirg‘ali
500.0,3619266363,Sirg‘ali
130.0,1460405725,Sirg‘ali
300.0,1714389330,Yashnobod
300.0,1904877033,Sirg‘ali
200.0,1904877033,Sirg‘ali
500.0,1650893429,Bektemir
90.0,2539836044,Mirobod
200.0,1523901627,Yashnobod
200.0,5016176187,Yakkasaroy
62.0,800048354,Yashnobod
800.0,15239016265,Yakkasaroy
400.0,5714631099,Olmazor
130.0,1396909824,Mirobod
150.0,1117527859,Bektemir
405.0,3238290956,Uchtepa
63.0,914340976,Mirzo-Ulug‘bek
160.0,874821127,Sirg‘ali
400.0,1079430319,Yashnobod
550.0,1904877033,Sirg‘ali
200.0,1803283591,Mirzo-Ulug‘bek
165.0,1587397528,Yunusobod
250.0,2920811451,Chilonzor
400.0,6730565517,Mirzo-Ulug‘bek
360.0,6095606506,Mirzo-Ulug‘bek
200.0,279381965,Yunusobod
300.0,2539836044,Yakkasaroy
330.0,6603573715,Mirzo-Ulug‘bek
770.0,952438517,Mirobod
300.0,4432013897,Mirzo-Ulug‘bek
80.0,1015934418,Bektemir
650.0,10146644997,Mirzo-Ulug‘bek
100.0,1460405725,Sirg‘ali
120.0,1650893429,Yashnobod
500.0,5905118803,Yunusobod
796.0,4063737671,Mirobod
500.0,4063737671,Mirzo-Ulug‘bek
100.0,825446714,Mirzo-Ulug‘bek
270.0,2539836044,Mirzo-Ulug‘bek
57.0,1079430319,Sirg‘ali
600.0,6349590111,Mirzo-Ulug‘bek
60.0,1117527859,Shayxontohur
71.0,628609421,Sirg‘ali
270.0,1111178269,Olmazor
100.0,660357371,Bektemir
40.0,571463110,Sirg‘ali
100.0,850845075,Mirobod
200.0,622259831,Shayxontohur
150.0,5079672088,Mirzo-Ulug‘bek
80.0,711154092,Yakkasaroy
603.0,7619508133,Yunusobod
94.0,1396909824,Sirg‘ali
70.0,1269918022,Yashnobod
200.0,4952680286,Yunusobod
600.0,2793819649,Olmazor
300.0,1739787690,Olmazor
300.0,3428778660,Yakkasaroy
588.0,6222598308,Mirzo-Ulug‘bek
119.0,914340976,Shayxontohur
100.0,1079430319,Yunusobod
213.0,3936745869,Mirobod
500.0,8356060585,Yakkasaroy
70.0,761950813,Mirzo-Ulug‘bek
170.0,1219121301,Sirg‘ali
300.0,7365524528,Mirzo-Ulug‘bek
400.0,3035104073,Mirzo-Ulug‘bek
200.0,4444713077,Mirzo-Ulug‘bek
70.0,1587397528,Yashnobod
200.0,1041332778,Yunusobod
30.0,406373767,Sirg‘ali
300.0,3809754066,Yunusobod
102.8,3174795055,Mirobod
500.0,1714389330,Mirzo-Ulug‘bek
400.0,5206663891,Chilonzor
300.0,4190729473,Mirobod
420.0,6095606506,Chilonzor
350.0,3809754066,Mirzo-Ulug‘bek
240.0,4190729473,Shayxontohur
70.0,1777885231,Yunusobod
140.0,1111178269,Sirg‘ali
600.0,8635442550,Uchtepa
350.0,3682762264,Yunusobod
50.0,609560651,Yashnobod
150.0,2222356539,Yashnobod
157.0,1714389330,Yashnobod
380.0,5079672088,Yunusobod
220.0,1333413923,Sirg‘ali
500.0,8889426155,Yunusobod
300.0,5714631099,Yunusobod
800.0,11175278594,Mirzo-Ulug‘bek
200.0,5079672088,Mirzo-Ulug‘bek
100.0,952438517,Sirg‘ali
500.0,3809754066,Uchtepa
350.0,8127475341,Yakkasaroy
100.0,1587397528,Sirg‘ali
320.0,2666827846,Mirzo-Ulug‘bek
350.0,8127475341,Yakkasaroy
330.0,2260454079,Yashnobod
450.0,3936745869,Mirzo-Ulug‘bek
100.0,119000000,Yunusobod
252.0,10540319583,Mirobod
480.0,5016176187,Yakkasaroy
600.0,6984549122,Mirzo-Ulug‘bek
712.0,825446714,Yunusobod
400.0,5333655693,Chilonzor
70.0,723853273,Chilonzor
200.0,2730323748,Uchtepa
500.0,4571704880,Uchtepa
350.0,1396909824,Yashnobod
450.0,3936745869,Mirzo-Ulug‘bek
200.0,2044568016,Sirg‘ali
370.0,2158555857,Bektemir
220.0,1904877033,Sirg‘ali
400.0,2527136864,Shayxontohur
670.0,6476581913,Yakkasaroy
264.0,4571704880,Mirobod
650.0,5714631099,Shayxontohur
600.0,2539836044,Mirzo-Ulug‘bek
360.0,3289087677,Yunusobod
77.0,1587397528,Shayxontohur
400.0,7556012231,Mirzo-Ulug‘bek
460.0,5714631099,Mirzo-Ulug‘bek
200.0,3174795055,Yunusobod
